Bundesamt für Meteorologie und Klimatologie, MeteoSchweiz
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

stn yyyyMMddHHmm

stn Stationskürzel
y   Jahr
M   Monat
d   Tag
H   Stunde
m   Minute

Zeitangaben in UTC: 00:40 UTC = 02:40 Sommerzeit
                              = 01:40 Winterzeit

Zeitbezug bei Stundenwerten, sofern in der Parameterbeschreibung nicht anders vermerkt: HH  = (HH-1):01 - HH:00
Beispiel: 13 = beinhaltet Messperiode von 12:01 bis 13:00 

Fehlende Messwerte sind gekenntzeichnet mit '-'

Qualitätsinformationen: Die Legende zu den Qualitätsinformationen ist zu finden unter: https://gate.meteoswiss.ch/idaweb/text/datenqualitaet_legende_de.pdf

 




Stationen
---------
stn       Name                                 Parameter        Datenquelle                                        Länge/Breite             Koordinaten [km] Höhe ü. M. [m]
ALT       Altdorf                              tre200dv         MeteoSchweiz                                       8°37'/46°53'             690180/193564    437
ALT       Altdorf                              tre200d0         MeteoSchweiz                                       8°37'/46°53'             690180/193564    437
ALT       Altdorf                              rzz150dx         MeteoSchweiz                                       8°37'/46°53'             690180/193564    437
ALT       Altdorf                              rka150d0         MeteoSchweiz                                       8°37'/46°53'             690180/193564    437
ALT       Altdorf                              su2000d0         MeteoSchweiz                                       8°37'/46°53'             690180/193564    437
ALT       Altdorf                              fu3010d0         MeteoSchweiz                                       8°37'/46°53'             690180/193564    437
ALT       Altdorf                              tso100d0         unknown                                            8°37'/46°53'             690180/193564    437
ANT       Andermatt                            tre200dv         MeteoSchweiz                                       8°35'/46°38'             687444/165044    1434
ANT       Andermatt                            tre200d0         MeteoSchweiz                                       8°35'/46°38'             687444/165044    1434
ANT       Andermatt                            rzz150dx         MeteoSchweiz                                       8°35'/46°38'             687444/165044    1434
ANT       Andermatt                            rka150d0         MeteoSchweiz                                       8°35'/46°38'             687444/165044    1434
ANT       Andermatt                            su2000d0         MeteoSchweiz                                       8°35'/46°38'             687444/165044    1434
ANT       Andermatt                            fu3010d0         MeteoSchweiz                                       8°35'/46°38'             687444/165044    1434
ANT       Andermatt                            tso100d0         unknown                                            8°35'/46°38'             687444/165044    1434
RAG       Bad Ragaz                            tre200dv         MeteoSchweiz                                       9°30'/47°01'             756910/209350    496
RAG       Bad Ragaz                            tre200d0         MeteoSchweiz                                       9°30'/47°01'             756910/209350    496
